country,mot_cle,score
Cap-Vert,Netflix,67
Chili,Netflix,66
Chine,Netflix,25
Chypre,Netflix,58
Colombie,Netflix,67
Comores,Netflix,39
Congo-Brazzaville,Netflix,39
Congo-Kinshasa,Netflix,16
Corée du Nord,Netflix,0
Corée du Sud,Netflix,16
Costa Rica,Netflix,59
Croatie,Netflix,54
Cuba,Netflix,38
Curaçao,Netflix,69
Côte d’Ivoire,Netflix,42
Danemark,Netflix,48
Djibouti,Netflix,56
Dominique,Netflix,65
Espagne,Netflix,62
Estonie,Netflix,29
Eswatini,Netflix,39
Fidji,Netflix,63
Finlande,Netflix,39
France,Netflix,59
Gabon,Netflix,54
Gambie,Netflix,24
Ghana,Netflix,36
Gibraltar,Netflix,72
Grenade,Netflix,63
Groenland,Netflix,56
Grèce,Netflix,51
Guadeloupe,Netflix,70
Guam,Netflix,58
Guatemala,Netflix,48
Guernesey,Netflix,64
Guinée,Netflix,21
Guinée équatoriale,Netflix,42
Guinée-Bissau,Netflix,24
Guyana,Netflix,53
Guyane française,Netflix,74
Géorgie,Netflix,20
Géorgie du Sud-et-les Îles Sandwich du Sud,Netflix,0
Haïti,Netflix,35
Honduras,Netflix,54
Hong Kong,Netflix,42
Hongrie,Netflix,62
Inde,Netflix,34
Indonésie,Netflix,30
Irak,Netflix,10
Iran,Netflix,1
Irlande,Netflix,67
Islande,Netflix,58
Israël,Netflix,30
Italie,Netflix,49
Jamaïque,Netflix,66
Japon,Netflix,12
Jersey,Netflix,63
Jordanie,Netflix,19
Kazakhstan,Netflix,5
Kenya,Netflix,49
Kirghizstan,Netflix,4
Kiribati,Netflix,75
Kosovo,Netflix,43
Koweït,Netflix,31
La Réunion,Netflix,83
Laos,Netflix,28
Lesotho,Netflix,38
Lettonie,Netflix,24
Liban,Netflix,41
Liberia,Netflix,21
Libye,Netflix,9
Liechtenstein,Netflix,40
Lituanie,Netflix,30
Luxembourg,Netflix,57
Macao,Netflix,40
Macédoine du Nord,Netflix,45
Madagascar,Netflix,58
Malaisie,Netflix,55
Malawi,Netflix,32
Maldives,Netflix,64
Mali,Netflix,16
Malte,Netflix,70
Maroc,Netflix,39
Martinique,Netflix,72
Maurice,Netflix,72
Mauritanie,Netflix,23
Mayotte,Netflix,77
Mexique,Netflix,64
Micronésie,Netflix,71
Moldavie,Netflix,15
Monaco,Netflix,0
Mongolie,Netflix,32
Montserrat,Netflix,64
Monténégro,Netflix,40
Mozambique,Netflix,41
Myanmar (Birmanie),Netflix,17
Namibie,Netflix,85
Nauru,Netflix,0
Nicaragua,Netflix,48
Niger,Netflix,18
Nigeria,Netflix,34
Niue,Netflix,0
Norvège,Netflix,47
Nouvelle-Calédonie,Netflix,78
Nouvelle-Zélande,Netflix,66
Népal,Netflix,33
Oman,Netflix,25
Ouganda,Netflix,24
Ouzbékistan,Netflix,7
Pakistan,Netflix,47
Palaos,Netflix,89
Palestine,Netflix,14
