country,mot_cle,score,country_clean
Guinée-Bissau,Netflix,24,guinee-bissau
Guyana,Netflix,53,guyana
Guyane française,Netflix,74,guyane francaise
Géorgie,Netflix,20,georgie
Géorgie du Sud-et-les Îles Sandwich du Sud,Netflix,0,georgie du sud-et-les iles sandwich du sud
Haïti,Netflix,35,haiti
Honduras,Netflix,54,honduras
Hong Kong,Netflix,42,hong kong
Hongrie,Netflix,62,hungary
Inde,Netflix,34,india
Indonésie,Netflix,30,indonesia
Irak,Netflix,10,irak
Iran,Netflix,1,iran
Irlande,Netflix,67,ireland
Islande,Netflix,58,iceland
Israël,Netflix,30,israel
Italie,Netflix,49,italy
Jamaïque,Netflix,66,jamaique
Japon,Netflix,12,japan
Jersey,Netflix,63,jersey
Jordanie,Netflix,19,jordanie
Kazakhstan,Netflix,5,kazakhstan
Kenya,Netflix,49,kenya
Kirghizstan,Netflix,4,kirghizstan
Kiribati,Netflix,75,kiribati
Kosovo,Netflix,43,kosovo
Koweït,Netflix,31,koweit
La Réunion,Netflix,83,la reunion
Laos,Netflix,28,laos
Lesotho,Netflix,38,lesotho
Lettonie,Netflix,24,lettonie
Liban,Netflix,41,liban
Liberia,Netflix,21,liberia
Libye,Netflix,9,libye
Liechtenstein,Netflix,40,liechtenstein
Lituanie,Netflix,30,lituanie
Luxembourg,Netflix,57,luxembourg
Macao,Netflix,40,macao
Macédoine du Nord,Netflix,45,macedoine du nord
Madagascar,Netflix,58,madagascar
Malaisie,Netflix,55,malaysia
Malawi,Netflix,32,malawi
Maldives,Netflix,64,maldives
Mali,Netflix,16,mali
Malte,Netflix,70,malte
Maroc,Netflix,39,morocco
Martinique,Netflix,72,martinique
Maurice,Netflix,72,maurice
Mauritanie,Netflix,23,mauritanie
Mayotte,Netflix,77,mayotte
Mexique,Netflix,64,mexico
Micronésie,Netflix,71,micronesie
Moldavie,Netflix,15,moldavie
Monaco,Netflix,0,monaco
Mongolie,Netflix,32,mongolie
Montserrat,Netflix,64,montserrat
Monténégro,Netflix,40,montenegro
Mozambique,Netflix,41,mozambique
Myanmar (Birmanie),Netflix,17,myanmar (birmanie)
Namibie,Netflix,85,namibie
Nauru,Netflix,0,nauru
Nicaragua,Netflix,48,nicaragua
Niger,Netflix,18,niger
Nigeria,Netflix,34,nigeria
Niue,Netflix,0,niue
Norvège,Netflix,47,norway
Nouvelle-Calédonie,Netflix,78,nouvelle-caledonie
Nouvelle-Zélande,Netflix,66,new zealand
Népal,Netflix,33,nepal
Oman,Netflix,25,oman
Ouganda,Netflix,24,ouganda
Ouzbékistan,Netflix,7,ouzbekistan
Pakistan,Netflix,47,pakistan
Palaos,Netflix,89,palaos
Palestine,Netflix,14,palestine
Panama,Netflix,49,panama
Papouasie-Nouvelle-Guinée,Netflix,43,papouasie-nouvelle-guinee
Paraguay,Netflix,49,paraguay
Pays-Bas,Netflix,51,netherlands
Pays-Bas caribéens,Netflix,71,pays-bas caribeens
Philippines,Netflix,56,philippines
Pologne,Netflix,56,poland
Polynésie française,Netflix,64,polynesie francaise
Porto Rico,Netflix,63,porto rico
Portugal,Netflix,61,portugal
Pérou,Netflix,67,peru
Qatar,Netflix,36,qatar
Roumanie,Netflix,68,romania
Royaume-Uni,Netflix,59,united kingdom
Russie,Netflix,2,russia
Rwanda,Netflix,37,rwanda
République centrafricaine,Netflix,11,republique centrafricaine
République dominicaine,Netflix,63,republique dominicaine
Sahara occidental,Netflix,30,sahara occidental
Saint-Barthélemy,Netflix,70,saint-barthelemy
Saint-Christophe-et-Niévès,Netflix,64,saint-christophe-et-nieves
Saint-Marin,Netflix,49,saint-marin
Saint-Martin,Netflix,90,saint-martin
Saint-Martin (partie néerlandaise),Netflix,78,saint-martin (partie neerlandaise)
Saint-Pierre-et-Miquelon,Netflix,98,saint-pierre-et-miquelon
Saint-Vincent-et-les Grenadines,Netflix,59,saint-vincent-et-les grenadines
Sainte-Hélène,Netflix,19,sainte-helene
Sainte-Lucie,Netflix,70,sainte-lucie
Salvador,Netflix,56,salvador
Samoa,Netflix,52,samoa
Samoa américaines,Netflix,99,samoa americaines
Sao Tomé-et-Principe,Netflix,64,sao tome-et-principe
Serbie,Netflix,41,serbie
Seychelles,Netflix,74,seychelles
Sierra Leone,Netflix,29,sierra leone
Singapour,Netflix,52,singapore
Slovaquie,Netflix,43,slovakia
Slovénie,Netflix,40,slovenia
Somalie,Netflix,27,somalie
Soudan,Netflix,5,soudan
Soudan du Sud,Netflix,25,soudan du sud
Sri Lanka,Netflix,30,sri lanka
Suisse,Netflix,54,switzerland
Suriname,Netflix,43,suriname
Suède,Netflix,48,sweden
Svalbard et Jan Mayen,Netflix,38,svalbard et jan mayen
Syrie,Netflix,3,syrie
